user_id	user_ground_truths	user_top_k_prediction
28682	[40802, 23407, 30662, 8850, 17484, 40445, 38773, 29623, 26655, 19125, 31502, 18993, 40243, 13272]	[13272, 17484, 16141, 8850, 26655, 38773, 37902, 23407, 16145, 30662, 19127, 40243, 40802, 4202, 16129, 19125, 18993, 30907, 16139, 31502, 21259, 29623, 37927, 12369, 40445, 8849, 37580, 27054, 12382, 32846, 21256, 32844, 17403, 25649, 13266, 40066, 37177, 12374, 34762, 16157, 40613, 16135, 31214, 32053, 37904, 32077, 32080, 30906, 21258, 12189, 33458, 12370, 32520, 19126, 16121, 22722, 20395, 16142, 32051, 21531, 21255, 12340, 21555, 31505, 36155, 20951, 35198, 9920, 25141, 37705, 34689, 34764, 18983, 25153, 29871, 16173, 37344, 37568, 12356, 32841, 30728, 12360, 16152, 29610, 25132, 37702, 27908, 35498, 18947, 39081, 33455, 36181, 18994, 16132, 12364, 15707, 31938, 21257, 12383, 29590]
28683	[7551, 36125, 4192, 13350, 36661, 1543, 7911, 37765, 35598, 51, 13349, 40809, 11924, 34215, 20892, 1023, 19241, 1010, 27418, 30624, 27417]	[51, 6455, 13349, 11924, 7911, 1023, 978, 1543, 13350, 37765, 4192, 7666, 7551, 33240, 4221, 20892, 1538, 1025, 40809, 36661, 4207, 1021, 1010, 980, 28738, 7605, 34215, 1017, 36125, 3581, 12519, 38046, 32173, 11719, 35598, 1014, 575, 1609, 27418, 13275, 1022, 20283, 6454, 30624, 718, 19241, 14423, 32178, 27417, 12525, 15205, 3211, 6047, 283, 16065, 7777, 12730, 14505, 287, 643, 9529, 11730, 239, 5172, 8264, 18805, 19245, 15144, 16767, 31486, 35728, 6452, 11950, 6044, 15532, 20302, 1317, 1026, 20317, 15169, 15147, 4191, 29267, 7984, 3012, 11058, 11067, 3806, 13722, 13296, 7408, 17210, 977, 3270, 27337, 20308, 3221, 5860, 6984, 35195]
28684	[22193, 37099, 39190, 23649, 22184, 22185, 22182, 35987, 37880, 21586, 23390, 37100, 37096, 38423, 37110, 22156, 35986, 24481, 37106, 37906, 21629, 21610, 32314, 21635, 27516, 37175, 39760, 38803, 28781, 35480, 22875, 28750, 40515, 40587, 39130, 31959, 38561, 27241, 27304, 35564, 37908]	[21620, 23646, 21635, 22190, 27271, 23392, 22216, 37101, 37111, 22156, 21630, 22218, 23297, 21629, 37880, 24481, 24479, 22210, 22193, 21595, 30218, 22219, 22184, 24480, 21612, 22198, 22185, 35987, 21609, 37905, 21582, 38424, 35986, 21586, 22187, 39190, 22189, 22183, 33855, 38423, 22150, 22196, 37106, 22182, 37105, 21610, 22207, 22149, 22209, 22204, 21611, 38082, 37099, 29353, 30221, 38435, 33854, 37097, 23653, 25194, 22191, 22162, 22161, 22155, 37879, 37096, 23390, 22208, 40587, 22875, 21632, 22157, 22220, 37107, 23657, 32737, 23697, 22221, 35985, 35965, 37912, 22158, 22197, 21618, 37108, 37537, 37100, 24475, 37910, 23641, 32315, 26643, 22148, 37110, 38081, 24478, 37908, 37909, 22199, 23645]
28685	[40325, 7977, 6624, 11373, 15309, 1476, 27811, 14594, 28575, 36283, 32019, 9877]	[283, 9877, 5445, 5211, 32019, 40325, 3758, 36283, 27811, 7974, 28575, 7977, 15224, 9894, 9886, 3755, 6624, 9843, 14687, 559, 9862, 30318, 18644, 1476, 15309, 33817, 3759, 14594, 12131, 20386, 9885, 22698, 11373, 7972, 31042, 2249, 13616, 4610, 12323, 31202, 20801, 3070, 1594, 7971, 34567, 4565, 4841, 32026, 34595, 5892, 13628, 19574, 16979, 2363, 25841, 4490, 2263, 14592, 19582, 34793, 13615, 13617, 7101, 35967, 27130, 30317, 24752, 19770, 11659, 546, 529, 9822, 4579, 21032, 12174, 18433, 978, 13636, 2337, 20789, 5423, 4519, 32328, 20792, 21270, 4598, 3105, 20790, 3092, 4843, 23439, 28391, 32020, 24753, 20856, 27803, 8828, 13641, 1553, 1207]
28686	[15996, 26532, 28931, 17121, 12627, 256, 257, 1526, 258, 1513, 1500, 37084, 5172, 28111, 9793, 3606, 28615, 28611, 13248, 4735, 12022, 29890, 16932, 3192]	[3192, 1500, 7120, 1513, 1509, 1526, 12022, 258, 4735, 256, 257, 5172, 4702, 13248, 722, 3606, 29890, 1609, 11860, 4891, 17121, 12627, 23248, 9793, 7461, 14740, 5430, 6922, 28111, 28611, 1537, 16932, 17976, 4994, 28931, 28615, 141, 1493, 1492, 250, 12103, 4327, 19304, 5198, 1502, 12034, 1546, 1508, 20615, 26532, 7468, 4995, 37084, 5195, 12499, 15996, 16975, 10694, 14742, 17977, 11840, 4895, 1515, 16960, 17079, 2647, 13555, 7335, 4894, 1504, 5131, 3189, 978, 7469, 12050, 980, 12491, 15458, 37077, 37561, 1503, 31479, 35253, 17951, 5168, 12021, 51, 6923, 13363, 5368, 1463, 32599, 21563, 28610, 8501, 16961, 5174, 39320, 4679, 2337]
28687	[160, 12438, 36738, 1169, 5172, 17802, 30949, 11647, 13814, 4545, 1811, 1023]	[2337, 718, 160, 2525, 283, 1811, 978, 642, 1169, 10694, 5172, 3261, 9163, 11647, 722, 1538, 4545, 51, 1023, 17802, 2662, 6423, 1537, 12438, 9793, 1165, 30949, 643, 36738, 837, 8095, 6037, 13814, 1609, 2493, 2220, 2365, 141, 14315, 575, 12998, 8266, 20182, 2334, 2432, 559, 2341, 2971, 456, 1650, 6038, 1546, 8537, 13839, 1551, 1004, 12613, 8183, 1025, 4430, 18311, 8540, 5195, 4419, 25514, 11854, 13222, 980, 12519, 8542, 15610, 3006, 13275, 2373, 3011, 1168, 20141, 1654, 2976, 6360, 4207, 1236, 19528, 6820, 4294, 2054, 2363, 981, 7605, 6110, 30953, 4888, 3270, 37088, 2635, 14637, 19621, 28983, 4289, 2800]
28688	[5504, 10899, 5482, 12452, 18873, 18235, 1330, 10219, 10739, 10738, 5536, 5538, 5470, 10205]	[5470, 10787, 5560, 2203, 12452, 10547, 5553, 1330, 5538, 5536, 10899, 10702, 10722, 10557, 5503, 10551, 10897, 18235, 16455, 5482, 10742, 10843, 6753, 18826, 11390, 18873, 5532, 5502, 13766, 11266, 5504, 10923, 5475, 10583, 5458, 10125, 13077, 10134, 13655, 10102, 11651, 5530, 5457, 5485, 10122, 5557, 10165, 10739, 10205, 10219, 11245, 10735, 5481, 10204, 10932, 10738, 11649, 10783, 10128, 18228, 19450, 5450, 10127, 5456, 11277, 11823, 10116, 5478, 11450, 5547, 28321, 10757, 11241, 10947, 5561, 5528, 5552, 11435, 5471, 10792, 9978, 5474, 5469, 5527, 10896, 10091, 2201, 13646, 5501, 10106, 11233, 11232, 20769, 20771, 10164, 10707, 10945, 10140, 5524, 1329]
28689	[37402, 37403, 978, 34501, 977, 160, 5313, 4587, 4507, 14492, 422, 6261, 9161, 9129, 6304, 1351]	[422, 160, 978, 4587, 977, 9161, 14492, 1351, 6304, 5313, 336, 9129, 6261, 6347, 5840, 37402, 378, 1362, 232, 4507, 340, 337, 37403, 30402, 333, 1165, 6265, 1405, 183, 20253, 2224, 34501, 9196, 980, 213, 425, 1640, 6891, 6527, 1242, 20254, 15961, 9171, 30408, 5323, 341, 18166, 19599, 5312, 14071, 7543, 1419, 5860, 363, 5786, 6271, 375, 8954, 4294, 5847, 231, 6425, 9070, 5162, 6263, 12660, 9134, 6291, 23965, 11138, 3628, 1344, 128, 4207, 4530, 36525, 346, 5304, 14485, 5926, 1665, 6339, 18155, 5550, 27633, 6424, 2161, 326, 129, 6047, 1292, 1403, 4392, 21056, 9172, 2228, 29120, 6257, 14267, 5320]
28690	[5452, 5237, 18094, 5258, 5257, 5260, 5262, 5261]	[5258, 5262, 5257, 18094, 5259, 5261, 5452, 5264, 15591, 5237, 5260, 4972, 718, 5265, 5263, 18459, 18096, 20453, 18461, 2971, 22014, 35029, 5079, 5256, 5252, 4930, 4959, 18462, 8364, 18460, 14729, 5453, 6121, 4971, 2976, 4973, 18454, 4946, 3549, 5440, 18180, 16977, 15593, 5030, 26255, 5250, 1023, 18455, 5344, 4931, 19261, 5343, 28935, 4964, 5253, 20139, 18467, 18089, 5225, 13065, 25817, 15505, 25815, 32337, 35327, 13072, 15589, 5249, 5226, 18458, 10830, 5229, 35030, 20432, 22012, 18450, 19207, 13257, 18456, 30779, 18067, 6119, 18099, 9778, 4962, 5251, 18065, 38270, 23081, 4957, 3011, 5240, 6999, 18104, 11988, 4974, 280, 19015, 4938, 34157]
28691	[3697, 5699, 337, 1362, 1237, 1128, 7086, 14492, 1204, 37793, 375, 340]	[128, 160, 375, 1362, 1204, 340, 1128, 1292, 5699, 129, 336, 6347, 422, 337, 14492, 5792, 2427, 1405, 7086, 3697, 1237, 1625, 1127, 37793, 2418, 6184, 1262, 4432, 1288, 1231, 19595, 5798, 7077, 1302, 28433, 237, 4447, 6291, 8163, 18169, 333, 18155, 6883, 8949, 1307, 1182, 4587, 346, 1671, 4371, 2507, 1189, 1352, 443, 1183, 34569, 30606, 3633, 14491, 211, 3655, 7085, 5321, 3487, 6111, 5757, 11652, 483, 1623, 1122, 2541, 425, 7084, 184, 2495, 1665, 5320, 367, 6715, 5297, 2178, 14500, 3489, 6263, 19599, 4601, 1257, 6170, 5066, 18170, 2478, 1294, 5778, 2162, 229, 1194, 1126, 5067, 3453, 27728]
28692	[20386, 22698, 13637, 36590, 32027, 23442, 11648, 9864]	[22698, 11648, 5445, 23442, 9877, 9864, 7977, 20386, 3755, 7972, 5211, 14687, 11665, 32027, 3758, 7974, 9885, 13637, 17745, 9882, 9894, 32020, 9862, 13629, 281, 36590, 13636, 283, 21032, 3756, 20801, 14592, 16980, 20790, 2363, 4490, 31185, 9875, 36810, 9909, 3782, 24369, 24751, 7971, 16979, 9860, 25841, 31202, 9843, 13621, 34257, 26550, 28153, 9887, 3759, 26214, 27130, 20856, 6940, 32026, 9912, 13623, 5443, 28391, 32328, 9840, 32018, 20789, 13628, 11659, 24927, 3781, 9883, 20384, 13626, 24357, 11655, 24354, 9896, 13615, 13641, 13617, 27805, 24355, 9839, 13613, 35733, 28128, 20851, 19773, 13631, 13630, 24351, 18936, 11654, 27132, 13633, 9854, 13638, 34726]
28693	[7258, 2524, 2925, 1712, 1838, 2044, 3128, 40879, 32415, 3185, 37241, 3322, 40919, 8369]	[2525, 4344, 3322, 7258, 3185, 40919, 37241, 1933, 2044, 40879, 7758, 8369, 2925, 1838, 32415, 837, 2396, 1708, 2524, 3128, 651, 1712, 15029, 2409, 3297, 991, 7745, 3946, 2018, 1076, 13406, 9924, 9270, 3199, 632, 874, 600, 2963, 714, 1906, 1755, 2952, 461, 473, 9926, 2491, 917, 2956, 1977, 4214, 2038, 2019, 2382, 12564, 605, 697, 8332, 699, 870, 466, 820, 564, 2924, 2397, 11771, 1730, 628, 4349, 1731, 4107, 20648, 36827, 14467, 468, 14607, 2045, 4077, 1749, 1757, 829, 3823, 2922, 1739, 1771, 4118, 3328, 3120, 476, 3955, 1876, 3867, 566, 615, 15243, 14788, 12583, 1988, 2959, 744, 585]
28694	[7054, 18490, 36050, 643, 37066, 40907, 3615, 1860, 34265, 283]	[1811, 4430, 160, 978, 141, 3615, 283, 3154, 7681, 2662, 643, 51, 40907, 37066, 34265, 7054, 18490, 36050, 1860, 7666, 2337, 718, 6037, 2525, 5114, 559, 19334, 5112, 10689, 1538, 3486, 6423, 8266, 4914, 1165, 7001, 3261, 2971, 34823, 20141, 34935, 2908, 16246, 1609, 8095, 3211, 21278, 5116, 24006, 5111, 1169, 23374, 32212, 642, 28901, 16094, 7009, 25992, 6038, 25770, 16110, 33444, 12565, 456, 7911, 16088, 7060, 1317, 16095, 16284, 23948, 3520, 4207, 455, 11982, 2432, 1537, 2203, 7059, 30087, 16091, 7889, 2363, 4419, 29287, 8194, 9460, 29214, 20711, 7816, 645, 13410, 6104, 11078, 3152, 7572, 18857, 7920, 7473, 1352]
28695	[21782, 3340, 21828, 11584, 28344, 16108, 29431, 27772, 11595, 11583, 29659, 25421, 21103, 21461, 21095, 21835, 11581, 23552, 21815, 21758, 21754]	[21461, 1650, 11600, 11584, 21839, 21099, 22847, 21450, 21074, 22843, 11576, 21451, 13727, 21095, 3341, 29441, 21827, 16109, 21091, 11598, 23563, 21745, 11588, 21788, 21106, 16232, 11589, 21741, 11585, 24340, 11595, 21743, 23552, 23562, 21762, 21828, 3344, 21836, 11574, 16108, 28340, 21798, 11581, 17594, 21072, 21088, 29659, 21102, 24338, 29658, 33636, 21837, 21452, 21815, 33490, 32849, 28342, 21785, 26545, 21464, 32851, 26543, 24336, 21805, 21092, 21073, 11596, 21791, 23560, 21754, 3340, 22844, 23556, 30423, 21831, 11582, 21772, 23557, 3336, 21097, 26206, 21781, 11573, 11579, 21782, 21816, 28341, 21744, 21750, 25420, 21770, 1660, 21804, 26207, 23583, 21468, 23566, 21794, 29442, 21806]
28696	[15380, 40309, 9494, 28478, 4532, 2515, 20835, 39821, 2514, 1128, 3713, 4514, 39624, 39621, 4538, 3694, 128, 3655, 3711, 1127]	[1128, 1127, 6184, 3711, 3655, 15379, 1212, 6170, 3713, 1292, 128, 6181, 3715, 2514, 4532, 1644, 3634, 1131, 22271, 6179, 1126, 4528, 1237, 6171, 39621, 2507, 4514, 6180, 6182, 1125, 6178, 6172, 2541, 15380, 4538, 3649, 1625, 1288, 3637, 2515, 39624, 1122, 1189, 8172, 215, 7084, 3652, 20835, 1231, 2174, 6173, 5676, 1623, 2489, 28478, 9494, 3668, 18272, 3699, 1302, 184, 6175, 4536, 4527, 40309, 6232, 39821, 2427, 1182, 1129, 2633, 221, 3741, 6177, 39623, 1111, 1295, 2627, 2180, 2504, 2478, 3694, 1262, 2522, 6176, 1191, 1183, 1307, 3749, 2520, 381, 1298, 3720, 2523, 5695, 2641, 3697, 3648, 6729, 1228]
28697	[21536, 39844, 31062, 32723, 21923, 32721, 40514, 21901, 28757, 37470, 39134, 23360, 28821, 40765, 23697, 40928, 31958]	[21536, 23297, 21520, 23884, 21923, 27296, 25018, 23360, 28757, 28742, 24419, 21901, 27511, 40765, 23343, 23108, 21933, 32723, 27243, 40514, 31958, 31062, 37470, 25028, 23348, 24179, 39844, 27293, 40928, 23697, 26645, 39134, 32721, 24420, 27655, 34554, 28821, 33383, 40673, 27246, 23214, 27252, 9603, 22562, 10879, 26049, 28793, 28750, 23350, 35176, 29142, 9588, 22566, 33708, 24981, 22875, 28816, 26104, 27259, 26048, 23298, 35496, 9584, 40124, 27265, 27315, 26432, 30333, 27306, 26055, 28741, 21950, 26127, 35579, 32097, 34550, 23872, 28771, 23341, 26102, 36956, 39759, 24400, 39725, 24409, 25521, 23340, 28747, 24421, 28795, 21164, 21909, 29358, 10880, 21519, 21126, 24414, 26109, 26050, 25294]
28698	[38402, 27649, 32727, 22883, 24134, 22366, 22968, 30597, 22919, 34854, 37687, 36885, 22524, 21536, 23914, 38972, 22372, 22649, 22839, 24427, 23234, 21924, 22562, 38432, 24627, 31395, 27531, 35496, 28811, 39045, 39831, 28775]	[21536, 22919, 17406, 23297, 22649, 12190, 23207, 23914, 22562, 23108, 21909, 22719, 8849, 22669, 22430, 23529, 21948, 21535, 24427, 21856, 23182, 23697, 21181, 23214, 22831, 21126, 21520, 21933, 23234, 22440, 22372, 22839, 22438, 21516, 24079, 21913, 22644, 23517, 24136, 21921, 22918, 20727, 21924, 22454, 34854, 35496, 23681, 38972, 21695, 22435, 24627, 22572, 22366, 39831, 22921, 37687, 22875, 17484, 23341, 23665, 22623, 23028, 27531, 24965, 10882, 21912, 24118, 21635, 21696, 27084, 38432, 36885, 22317, 22834, 38402, 24520, 23715, 32727, 25904, 24590, 22524, 27649, 27644, 22387, 28775, 30597, 22547, 24134, 22631, 22405, 17405, 22187, 27256, 23233, 22879, 23030, 22722, 28065, 22632, 29551]
